,miRNA,log2control_median,log2treatment_median,log2fold_change,p_value,Q_value
273,hsa-mir-450b_hsa-miR-450b-5p,4.1612017155,3.580573082,-0.580628633500001,1.84605403000693e-05,4.26101779253172e-05
274,hsa-mir-4510_hsa-miR-4510,2.749174118,3.358510256,0.609336138,2.49478788505251e-09,7.69400969591824e-09
275,hsa-mir-451a_hsa-miR-451a,16.507379535,19.21128082,2.703901285,3.05581069344719e-39,5.64684280858317e-37
276,hsa-mir-4659a_hsa-miR-4659a-3p,2.429927111,4.406897545,1.976970434,0.000494012384215529,0.000954223921089996
277,hsa-mir-4659b_hsa-miR-4659b-3p,2.959028006,4.2363836765,1.2773556705,0.00841081994319015,0.0142247507794967
279,hsa-mir-4732_hsa-miR-4732-3p,7.288111925,8.175795555,0.887683630000001,8.45299650546481e-05,0.000183565072041751
280,hsa-mir-4732_hsa-miR-4732-5p,8.1446452145,5.747790337,-2.3968548775,3.57764455625739e-08,9.87214700862002e-08
281,hsa-mir-483_hsa-miR-483-5p,6.266185284,5.242521286,-1.023663998,7.20655421455559e-05,0.000158371580643228
282,hsa-mir-484_hsa-miR-484,8.7053284645,7.810966969,-0.894361495499999,1.87473797828506e-13,7.90837744862778e-13
286,hsa-mir-486-1_hsa-miR-486-5p,15.89761734,11.70737648,-4.19024086,1.8351590170465e-21,1.77237726120017e-20
288,hsa-mir-486-2_hsa-miR-486-5p,15.90284204,11.6910553,-4.21178674,6.58851432435911e-22,7.11171987364645e-21
291,hsa-mir-493_hsa-miR-493-5p,5.1701643465,3.812580109,-1.3575842375,0.000555567713992184,0.00106750445568132
293,hsa-mir-500a_hsa-miR-500a-3p,6.65988493,2.639675617,-4.020209313,4.79695596154979e-11,1.64531106344745e-10
294,hsa-mir-501_hsa-miR-501-3p,7.215990543,5.453608513,-1.76238203,2.21097845297518e-08,6.19411520795337e-08
295,hsa-mir-502_hsa-miR-502-3p,6.22305727,3.700590611,-2.522466659,1.14071733229837e-08,3.27065047619923e-08
296,hsa-mir-503_hsa-miR-503-5p,5.3845772745,3.819985628,-1.5645916465,2.2057749796131e-11,7.70970873826674e-11
297,hsa-mir-505_hsa-miR-505-3p,4.481972218,2.883468151,-1.598504067,9.27568510112703e-11,3.12309764414094e-10
301,hsa-mir-543_hsa-miR-543,4.850774765,3.1724482775,-1.6783264875,4.99608136182583e-08,1.33836632101466e-07
307,hsa-mir-548k_hsa-miR-548k,3.953021765,3.1853832005,-0.7676385645,0.000153838469280727,0.000320788171738789
314,hsa-mir-576_hsa-miR-576-5p,4.474265337,7.180232525,2.705967188,8.49118776320854e-15,3.89533238637192e-14
317,hsa-mir-589_hsa-miR-589-5p,4.0216009615,3.283365011,-0.7382359505,1.30688228508869e-09,4.14584783309415e-09
318,hsa-mir-590_hsa-miR-590-3p,3.618738651,5.264493465,1.645754814,3.78652635172754e-05,8.57811834002474e-05
322,hsa-mir-624_hsa-miR-624-5p,3.178629398,4.402699471,1.224070073,0.0014474630149786,0.0027103006453936
325,hsa-mir-628_hsa-miR-628-3p,3.383111119,5.8004841805,2.4173730615,5.88208459155207e-08,1.56429351094175e-07
326,hsa-mir-629_hsa-miR-629-5p,9.434128761,5.288489819,-4.145638942,4.20708023693564e-18,3.02744793520663e-17
327,hsa-mir-651_hsa-miR-651-5p,5.087226868,4.3008384705,-0.7863883975,2.46817489133071e-05,5.66137615698982e-05
328,hsa-mir-652_hsa-miR-652-3p,6.782371044,9.990447998,3.208076954,1.12636971400308e-06,2.77434687945725e-06
329,hsa-mir-654_hsa-miR-654-3p,4.777513504,3.29804635,-1.479467154,5.84531026666567e-05,0.000130013870779776
